"","cc","mz","rt","i"
"228",239,132.138362395814,1522.99,426943.528206525
"229",240,132.138371995056,1843.43,643325.664169552
"230",241,132.138319618543,1685.62,222798.83418109
"231",242,132.138374394539,1882.69,976678.668888827
"232",243,132.138305351636,1715.14,395597.496005385
"233",244,132.138321530668,1446.435,254053.625267792
"234",247,132.234737644371,2000.98,2836.21203994751
"235",248,132.234702267574,1974.98,4958.4502763475
"236",249,132.987688563912,91.291,1066.0967726111
"237",250,133.059274010807,87.142,12435.6959306134
"238",251,133.06510425253,1081.765,136157.758572734
"239",252,133.065594565623,1049.08,31455.7956305647
"240",253,133.087299415119,82.721,86887.3391936126
"241",254,134.019200804675,92.152,8302.66224480709
"242",255,134.045638023942,83.324,130406.879908619
"243",256,134.063294557162,88.1865,36410.2221890247
"244",257,134.070045278917,1082,8279.38432832976
"245",258,134.090596665223,82.7045,361572.698568537
"246",259,135.003306667448,91.128,4654.64072034698
"247",260,135.066947731671,87.9135,376109.06637449
"248",261,135.080931239856,1041.69,55176.0445861816
"249",262,135.08083529676,1025.69,57059.7103618932
"250",263,135.080938036833,722.8465,22216.4516467936
"251",264,135.081537255667,1557.97,12291.8440218088
"252",265,135.080794160344,959.6675,105744.656658291
"253",266,135.080668009899,598.0605,32698.2282720301
"254",267,135.080263610344,446.528,26326.6033826795
"255",268,135.081530745307,1158.435,10648.2377901231
"256",270,135.082555097946,1519.83,12249.8695202507
"257",271,135.116611456699,525.9145,38872.6572912879
"258",272,135.116431096801,775.365,19423.5214547212
"259",273,135.115630284479,1039.44,98923.8008939355
"260",274,135.115668802101,1027.44,57565.3432531878
"261",275,135.178804988649,959.4205,1626.2235069596
"262",276,136.062204482879,107.2865,67224.1258395355
"263",277,136.060002033013,87.79,31013.0051098561
"264",278,136.074865475993,362.873,30441.9133337015
"265",279,136.083616265633,959.7915,8569.50267145014
"266",280,136.112002383677,455.5165,8959.64735146023
"267",281,136.11228364374,208.198,46861.9079777091
"268",282,136.112928149731,326.757,14413.917025291
"269",283,136.119682783714,526.2915,5027.40137087047
"270",284,136.931666614809,485.153,9944.13297895565
"271",285,136.931475328065,69.908,61617.6040371144
"272",286,136.931983228182,296.224,20703.0075168722
"273",287,136.931849492049,12.64,29463.174034487
"274",288,136.931487722434,30.895,46143.0525800476
"275",289,136.931682483041,413.4655,11890.2338668203
"276",290,136.931621791222,507.954,13505.2418738284
"277",291,136.931659601246,462.23,24815.7502692365
"278",292,136.931646409904,450.1425,16597.2221279183
"279",293,136.931657779954,339.663,27822.4892259058
"280",294,136.931607011815,354.7385,17451.8991224551
"281",295,136.931718724146,436.031,18503.9076332858
"282",296,136.931573178617,369.744,11785.4668623096
"283",297,136.931557740479,388.875,12477.6912855528
"284",298,136.940645709385,94.123,943549.892594691
"285",299,136.936891351187,108.8985,23469.6370785073
"286",300,137.045154874362,98.4885,94217.7336908691
"287",301,137.055287454559,83.6565,45671.4962891798
"288",302,137.060856668161,818.0175,17297.3590031383
"289",303,137.132540288589,1344.28,69378.0237019857
"290",304,137.132525087488,1431.56,136549.665771484
"291",305,137.132639587485,9.639,26904.1161176695
"292",306,137.138133459122,97.665,358489.126446338
"293",307,137.231276851786,1431.18,1240.69840344085
"294",308,137.558358936681,1651.625,4376.01810186988
"295",310,137.778691409998,1651.63,6355.55290087911
"296",311,137.885322388091,1651.62,2974.85772194658
"297",312,137.943893966387,94.155,20995.3488996532
"298",313,137.998603200342,1651.85,5432.08145268758
"299",314,138.013066283266,91.41,9428.16997362717
"300",315,138.049173974345,98.5245,9692.22769267186
"301",316,138.058250241602,83.548,205213.055282654
"302",317,138.122756987893,107.5005,48039.4194088477
"303",318,138.157162298436,83.285,3522.23870932995
"304",319,138.938934051417,94.123,135567.304722897
"305",320,139.038146433204,94.2525,2384.78137990048
"306",321,139.075484680448,659.241,6718.49172966764
"307",322,139.112954310331,998.687,40752.7901995929
"308",323,139.123842280166,2038.615,8809.54490286254
"309",324,139.124113743297,2173.52,20812.7468610491
"310",325,139.123613733861,1984.98,11105.1553894043
"311",326,139.1239584281,2090.375,9885.37888217409
"312",327,139.123751768294,2014.48,18634.80957685
"313",328,139.123912697953,2064,20010.9591210667
"314",329,139.124084834907,2150.77,17466.0454326027
"315",330,139.123690245696,2000.73,16737.5126880646
"316",331,139.123548211555,1970.46,15518.5965840607
"317",332,139.124048481632,2113.26,20882.8571127577
"318",333,139.124054016469,2126.76,14433.1683605512
"319",334,139.124186008392,2199.04,16451.0544815063
"320",335,139.124402945049,2338.32,23193.343679538
"321",336,139.124298903158,2256.56,26806.5071645041
"322",337,139.124408701885,2394.84,25955.8430680871
"323",338,139.124309142147,2290.81,22432.4017508762
"324",339,139.123378630769,1954.09,20581.8924127929
"325",340,139.124364288007,2305.57,23588.803668342
"326",341,139.124573733493,2424.85,32487.5962104499
"327",342,139.124466773832,2366.33,29226.4235636205
"328",343,139.124325423537,2231.665,36867.5091216647
"329",344,139.145804410448,1431.56,10076.0597788493
"330",345,140.068621358523,91.6215,222652.91271901
"331",346,140.070969298715,107.6215,81094.267848106
"332",347,140.115046724705,998.682,5076.01600034467
"333",348,140.12508168106,327.108,10173.256917371
"334",349,140.125112718926,455.398,9666.44832561296
"335",350,140.125300286402,207.8365,86377.2323750729
"336",351,140.938236528711,94.156,5611.34921198805
"337",352,140.99495288851,83.4115,19529.0230310195
"338",353,141.060787543242,98.1935,25545.0959143321
"339",354,141.078129795804,107.2865,66738.8851966129
"340",355,141.078437609631,87.673,20819.5740066374
"341",356,141.163169302665,1431.3,5343.55717051762
"342",357,142.062757831607,98.368,94027.0700602019
"343",358,142.121889530034,416.7595,6340.85849452059
"344",359,142.158144961271,2312.945,19930.1247096809
"345",360,142.158080897776,2276.43,16925.3418781275
"346",361,142.158197573037,2356.58,20818.82857791
"347",362,142.158233177021,2255.43,17595.3664286373
"348",363,142.15811175357,2330.57,18632.4217740325
"349",364,142.158031857624,2452.235,15157.8849983215
"350",365,142.158320039921,2238.415,6776.96166844098
"351",366,142.163050946371,98.215,1533.17807035014
"352",367,142.618756661686,1677.13,3195.83519458458
"353",368,142.948045184948,1714.265,26093.0906588303
"354",369,142.948267928486,90.664,53800.1602545989
"355",370,142.948152789128,2617.65,557889.46166139
"356",371,143.001643034858,83.4065,24498.6311888928
"357",372,143.069517412306,548.298,6153.88740577384
"358",373,143.107250997445,927.656,22454.9195683823
"359",374,143.117864333379,105.004,30152.7243459504
"360",375,144.067728651289,78.91,10097.1015865246
"361",376,144.102136687144,98.416,4323.86975537488
"362",377,144.138349731095,780.4885,11184.2291416987
"363",378,144.138293065366,649.325,3833.23275762694
"364",379,144.174694271169,513.9855,209283.210383519
"365",380,144.927716584603,95.9815,21914.2178051193
"366",381,145.078469769995,78.6605,18113.6950397096
"367",382,145.085039533459,98.347,4312.22059986194
"368",383,145.150077458055,1899.565,5054.52270907974
"369",384,145.177918971654,514.2,23870.3934153561
"370",385,146.095531097764,323.481,11777.0123597636
"371",386,146.117117479432,119.389,15193.8767395875
"372",387,147.044712862157,1842.18,4607.45028559367
"373",388,147.067310614493,959.417,6324.08706182046
"374",389,147.06607572346,85.5385,9991.0326541214
"375",390,147.066848634372,1937.21,9682.69251557099
"376",391,147.067937275343,1896.2,8468.55759296021
"377",392,147.080575603083,1848.68,40227.9089114308
"378",393,147.116279207441,1455.07,5084.34847326347
"379",394,147.16464939834,1898.945,3239.81640683596
"380",395,147.16613047941,909.154,881.991363829626
"381",396,148.060675235789,87.6975,629750.437402671
"382",398,148.085994379754,1848.68,9460.62193409253
"383",399,148.111965856087,192.214,225429.523083066
"384",400,148.961578693065,91.664,1614.25640267125
"385",401,149.023613409624,743.731,113565.276463233
"386",402,149.023833718134,1512.46,23661.995610555
"387",403,149.023703671658,1107.65,234574.517158154
"388",404,149.024055237137,956.0425,10047.9262422352
"389",405,149.050271407039,499.29,17507.3306407251
"390",406,149.059658766748,1737.15,46092.4136098226
"391",407,149.059971780742,1848.555,384892.618151324
"392",408,149.060501902964,474.026,26709.7673012306
"393",409,149.063870954083,87.674,38370.3288455555
"394",410,149.083452660899,79.496,2609.73590656051
"395",411,149.096089874576,1557.97,7635.46945802476
"396",412,149.128194207139,1848.68,97224.779110319
"397",413,149.993159045183,92.8515,18797.7322194897
"398",414,150.027365571643,743.606,8552.67415724451
"399",415,150.027269324613,1110.105,17337.4037325434
"400",416,150.063324914809,1848.68,37606.9009957948
"401",417,150.064039942792,1737.4,4276.03064825738
"402",418,150.059269148408,98.9475,7804.09774421614
"403",419,150.085956641262,79.035,12992.3922301966
"404",420,150.093137108932,312.7365,9186.11379153039
"405",421,150.092156387418,109.1535,15185.3575534651
"406",422,150.141388934395,105.052,31911.8587459163
"407",423,150.979223658215,82.661,9345.75965522856
"408",424,151.07013514869,86.9245,11414.6939780209
"409",425,151.077735308015,1519.315,9881.83844319661
"410",426,151.117037158395,82.65,6148.20999212172
"411",427,151.148263826671,1431.56,74366.6016438802
"412",428,152.016876396759,526.418,43095.3324151654
"413",429,152.074351050512,87.6415,121629.314294081
"414",430,152.12545093629,194.192,226185.257561164
"415",431,152.150398795253,1431.06,8304.05100332697
"416",432,152.177098546585,87.414,2343.94962890859
"417",433,153.003017649619,92.8515,25231.1286691366
"418",434,153.020206262284,526.541,3909.55711236851
"419",435,153.040562572203,97.899,7000.26461346172
"420",436,153.077850281348,87.663,852632.961592529
"421",437,153.079417024741,139.9815,170717.7464141
"422",438,153.080416203704,170.437,25484.6837658453
"423",440,153.08893540398,114.235,28435.7617366928
"424",441,153.091728078695,757.356,8739.02616099626
"425",442,153.100376863976,97.873,101699.327661062
"426",443,153.130048310101,1039.44,26355.6927438871
"427",444,153.127971346265,525.9145,42757.352812935
"428",445,153.136352758865,117.418,29293.1868463058
"429",446,153.138284379251,207.948,534972.875760592
"430",447,153.162747329875,1431.56,17383.2337036133
"431",448,153.986456137443,91.411,8874.42755131548
"432",449,153.989290179245,82.178,14099.5068944853
"433",450,154.079034614073,87.8005,6695.96378533496
"434",451,154.092539300323,138.3065,17958.1431334898
"435",452,154.104282426071,108.984,13617.2856915556
"436",453,154.121937790708,2480.37,22648.7223789597
"437",454,154.12189073542,2406.345,34987.6681440814
"438",455,154.12182914306,2459.86,17749.8426520999
"439",456,154.121963243905,2435.85,32625.9835737882
"440",457,154.121904974973,2381.965,19258.138885498
"441",458,154.121925161241,2509.125,36754.0713852041
"442",459,154.130986575368,525.542,4691.88064896117
"443",460,154.14146914866,207.465,46270.4035386192
"444",461,155.001639075403,92.333,1699.82036439901
"445",462,155.081623508733,87.79,7187.86516987818
"446",463,155.091741704455,414.51,5173.82957396498
"447",464,155.106742577113,360.4915,16774.6620623164
"448",465,155.10684031815,138.1815,377031.021464975
"449",466,155.143785938709,614.564,3717.03976574146
"450",467,155.178488425681,1431.685,4249.62530942912
"451",468,155.211506866838,138.8055,5397.15700435039
"452",469,156.042827829902,96.6525,1656039.509938
"453",470,156.139222772606,2153.52,8638.24928243592
"454",471,156.139379367785,2268.935,21292.2510274627
"455",472,156.139144615072,2179.28,12612.4728597005
"456",473,156.139377908894,2285.185,32175.9132377211
"457",474,156.139385059421,2303.94,16159.7213372343
"458",475,156.139565163501,2366.59,17248.8104931865
"459",476,156.139307700752,2346.58,18168.3960812082
"460",477,156.139140734838,2133.515,19867.1320619076
"461",478,156.139766437438,2419.35,18622.2108423519
"462",479,156.139135862786,2106.005,15986.0080085264
"463",480,156.13945439801,2248.3,10152.8982035319
"464",481,156.139845237805,2442.1,6638.91450797841
"465",482,156.147886971527,205.8025,33270.9549184889
"466",483,157.046056338627,96.539,90509.6054899435
"467",484,157.07323081197,86.409,1871.39270655894
"468",485,157.08631432179,659.241,21238.2050221681
"469",486,157.10156517028,1146.38,11843.5627774451
"470",487,157.100991061545,712.096,5131.99401256229
"471",488,157.122565785147,998.684,50981.9535604426
"472",489,157.152087886055,208.085,456077.164748273
"473",490,157.151979301616,455.1425,4493.19638554158
"474",491,157.257568063002,207.943,5448.54436648246
"475",492,158.012869601697,2069.375,8535.47179470498
"476",493,158.01272058104,2109,14395.7259190378
"477",495,158.012747107571,2140.77,13103.4768249512
"478",496,158.012789174679,2043.49,9023.26610004731
"479",498,158.012865224994,2084,12136.0225779215
"480",499,158.012867572238,2175.77,15772.3128616995
"481",501,158.042042266616,92.2485,100859.809559221
"482",502,158.115853634038,97.7035,9609.37458113098
"483",503,158.126562530628,998.5595,4779.77122935465
"484",504,158.145905937595,92.161,1674.44263586011
"485",505,158.154872969086,206.071,14512.5308292282
"486",506,158.154072805718,877.6475,33274.4644117906
"487",507,158.154108550715,895.149,12143.9318464214
"488",508,158.153752854033,811.38,8468.46805932489
"489",509,158.922206546001,102.716,61332.4476127052
"490",510,158.950812047108,64.4125,45997.1042875749
"491",511,158.950715666393,12.225,15678.9431273342
"492",512,158.950662089528,31.396,13267.9900169732
"493",513,159.033339013298,15.557,53862.269094762
"494",514,159.032997923764,67.6755,115939.585842154
"495",515,159.04163252798,83.655,14112.7322791165
"496",517,159.115852458091,1195.805,4014.12698804386
"497",518,159.120197768983,97.7035,111598.9070366
"498",519,159.137544796854,446.878,5381.17106604038
"499",520,159.156424588396,877.892,2562.68801039408
"500",521,159.225856590479,97.7585,1596.3318235627
"501",522,160.06069750822,85.025,37672.3857760418
"502",523,160.104509411976,107.115,10096.6821542866
"503",524,160.169276811644,1899.12,7595.93871856854
"504",525,160.902107463155,95.5525,48459.4731391872
"505",526,161.012759060859,98.666,2440.06429477502
"506",527,161.096513248638,1779.16,25798.9209532579
"507",528,161.096634539058,1078.72,16991.1916955973
"508",529,161.096505530682,796.7465,26010.9017473434
"509",530,161.091225747654,89.412,8017.19362870538
"510",531,161.096461306106,458.4305,8074.83325033491
"511",532,161.097153326889,1557.72,4707.27051997096
"512",533,161.132221442561,654.967,6480.10450246296
"513",534,162.023054956263,88.164,9281.72747437624
"514",535,162.050882507489,98.1935,13831.8752412402
"515",537,162.900237911969,95.648,6926.20970539624
"516",538,163.039790823871,158.398,36441.4843972097
"517",539,163.063551384919,83.696,15088.3000939666
"518",540,163.075674027854,670.0505,36185.8188280425
"519",541,163.075778159909,695.1295,35876.9385916935
"520",542,163.112349305272,1848.68,284123.188174964
"521",543,163.112234792601,722.848,183772.066784826
"522",544,163.112282527823,1737.15,35860.6546630859
"523",545,163.111967775351,1158.47,11972.6363953616
"524",546,163.112496422926,1824.42,46778.6767272542
"525",547,163.112492121284,1645.5,5199.50910264486
"526",548,163.134388833065,441.615,29417.5837045976
"527",549,163.147462690794,1780.66,17286.4773686329
"528",550,163.219445400083,1848.68,5815.013865153
"529",551,163.219598770476,722.8495,2862.31414805587
"530",552,164.045911088583,98.439,12995.7284882396
"531",553,164.0643580266,83.428,63692.9985457507
"532",554,164.094429501879,349.2415,13751.3987856616
"533",555,164.115684252597,722.8495,23806.6369427112
"534",556,164.116038548905,1848.555,39249.7274385501
"535",557,164.925628644328,2591.65,36299.4482631797
"536",558,164.931137512939,91.162,44915.7385926088
"537",559,165.055381195936,796.868,16184.7543896147
"538",560,165.055016493056,1842.555,6910.76932795206
"539",561,165.054695530576,98.389,5170.59859634256
"540",562,165.076168556582,85.5545,17311.6067365062
"541",563,165.076283743536,516.207,10228.4776612106
"542",564,165.076315459602,448.3405,20793.3362553143
"543",565,165.091472908207,124.7865,173247.329448788
"544",566,165.090980303017,369.245,8677.24270411975
"545",567,165.138738030299,192.69,419044.539652994
"546",568,165.163959088344,1431.56,52719.90331014
"547",569,165.163821275268,1344.53,31412.3775996767
"548",570,165.166880769433,909.279,5882.53257256296
"549",572,165.967072893427,93.383,54572.2820014514
"550",573,166.086965241396,109.152,33885.020047922
"551",574,166.159706630378,2422.09,11777.1288174334
"552",575,166.159788439727,2386.84,11449.6553202972
"553",576,166.159709913132,2314.82,10346.8720264611
"554",577,166.15981259621,2360.08,8062.40467620386
"555",578,166.159864963819,2278.81,17060.0079084602
"556",579,166.15989456604,2344.195,16119.5407015268
"557",580,166.159555807193,2462.61,8596.66879974035
"558",581,166.15952330507,2494.12,12911.0507097298
"559",582,166.951438119616,92.036,12339.6549351258
"560",583,167.038999808292,88.4135,13515.3359311022
"561",584,167.067446764231,98.164,10515.6276315613
"562",585,167.070561430075,1848.68,176969.319053011
"563",586,167.071032685986,904.653,39527.9598855099
"564",587,167.07087809604,1737.275,18474.3359553019
"565",588,167.106980635483,177.185,90508.9824573718
"566",589,167.10688218376,404.9815,32867.1047520124
"567",590,167.107755673973,138.0505,137230.668726034
"568",591,167.112123357561,89.3945,6991.38374368642
"569",592,167.117905645225,109.027,103967.355678539
"570",593,167.178391279909,1431.43,15867.248046875
"571",594,167.227260590253,109.315,1029.31280377097
